Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Beae product countdown end at (product.metafields.beae.countdown),Beae product countdown start at (product.metafields.beae.countdown_from),Bought together products (product.metafields.globo--filter--product_recommendation.bought_together_products),Complementary products (product.metafields.globo--filter--product_recommendation.complementary_products),Related products (product.metafields.globo--filter--product_recommendation.related_products),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Additional animation software features (product.metafields.shopify.additional-animation-software-features),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Color (product.metafields.shopify.color-pattern),Fat content (product.metafields.shopify.fat-content),License type (product.metafields.shopify.license-type),Operating system (product.metafields.shopify.operating-system),Target gender (product.metafields.shopify.target-gender),User type (product.metafields.shopify.user-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Lithuania,Price / Lithuania,Compare At Price / Lithuania,Included / International,Price / International,Compare At Price / International,Status
crep-protect-suede-reviver,Crep Protect Suede Reviver,"<p>Revive your suede and nubuck shoes to their former glory with Crep Protect Suede Reviver, a 3-in-1 shoe care product that nourishes, conditions, and restores the original texture and appearance of your beloved shoes.</p>
<p>This innovative shoe care solution is designed to provide a rich and intense moisturizing treatment that leaves your suede and nubuck shoes looking vibrant, fresh, and revitalized. With its easy-to-use formula, you can effortlessly restore the original texture and appearance of your shoes, making them look like new again.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>
<strong>3-in-1 formula</strong>: Purifies, conditions, and restores the original texture and appearance of suede and nubuck shoes</li>
<li>
<strong>Rich and intense moisturizing treatment</strong>: Nourishes and hydrates your shoes, leaving them looking vibrant and fresh</li>
<li>
<strong>Easy to use</strong>: Simply apply, wait for 1 minute, and wipe off with a soft cloth</li>
<li>
<strong>45ml bottle</strong>: Perfect for regular use and travel</li>
</ul>
<p><strong>Benefits:</strong></p>
<ul>
<li>Restores the original texture and appearance of your suede and nubuck shoes</li>
<li>Protects your shoes from water and stains</li>
<li>Easy to use and maintain</li>
<li>Perfect for suede and nubuck shoes</li>
</ul>
<p><strong>Why Choose Crep Protect Suede Reviver?</strong></p>
<p>At viskasbatams.lt, we are committed to providing you with the best shoe care solutions for your beloved shoes. With Crep Protect Suede Reviver, you can trust that your shoes will be protected, restored, and revitalized, making them look like new again. Order now and experience the power of Crep Protect Suede Reviver for yourself!</p>
<p> </p>",CREP,Home & Garden > Household Supplies > Shoe Care & Tools,"","CREP, Restore, Reviver, Suede",true,Title,Default Title,,,,,,,,,0.0,shopify,25,continue,manual,17.99,19.49,true,true,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/Untitled_design_jpg.webp?v=1738509330,1,"",false,,,,,,,,,,,,,,,,,,,,,,,milk,,full-fat,,,,,,,,,,kg,,,true,,,true,,,active
crep-protect-suede-reviver,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/Product_Suede_LaunchAssets_HowToImage1_webp.webp?v=1738509350,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crep-protect-suede-reviver,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/Product_Suede_LaunchAssets_HowToImage2_webp.webp?v=1738509364,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crep-protect-cure-refill,Crep Protect Cure Refill,"<p>Protect your shoes from stains and damage with Crep Protect Cure Refill, a powerful and eco-friendly shoe care product. This 250ml refill is designed to be used with the Crep Protect Cure spray, providing an effective and long-lasting solution for cleaning and protecting your shoes.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>
<strong>100+ stain removal</strong>: Crep Protect Cure Refill is capable of removing even the toughest stains from your shoes, leaving them looking like new.</li>
<li>
<strong>Suitable for all materials</strong>: This product is safe to use on textiles, synthetics, and leathers, making it a versatile solution for all your shoe care needs.</li>
<li>
<strong>98% natural ingredients</strong>: Crep Protect Cure Refill is made with high-quality, natural ingredients that are gentle on your shoes and the environment.</li>
<li>
<strong>Easy to use</strong>: Simply spray the product onto your shoes, let it sit for a few minutes, and then wipe clean with a cloth.</li>
</ul>
<p><strong>Benefits:</strong></p>
<ul>
<li>
<strong>Long-lasting protection</strong>: Crep Protect Cure Refill provides a barrier against stains and damage, keeping your shoes looking their best for longer.</li>
<li>
<strong>Easy maintenance</strong>: This product makes it simple to keep your shoes clean and protected, saving you time and effort.</li>
<li>
<strong>Eco-friendly</strong>: With 98% natural ingredients, Crep Protect Cure Refill is a more sustainable choice for shoe care.</li>
</ul>
<p><strong>Why Choose Crep Protect Cure Refill?</strong></p>
<p>At viskasbatams.lt, we're committed to providing our customers with the best shoe care products on the market. Crep Protect Cure Refill is a high-quality, effective solution that will keep your shoes looking great for years to come. Order now and experience the benefits of this amazing product for yourself!</p>
<p> </p>",CREP,Home & Garden > Household Supplies > Shoe Care & Tools,"","Autumn, CREP, Protect, Repel, Shoe Care, Winter",true,Title,Default Title,,,,,,,,,0.0,shopify,25,continue,manual,17.99,19.49,true,true,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/crep-protect-cure-refill-sampunas-batams-200-ml.webp?v=1738509730,1,"",false,,,,,,,,,,,,,,,,,,,,,,,milk,,full-fat,,,,,,,,,,kg,,,true,,,true,,,active
crep-protect-cure-refill,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/MfxBfCvg_png.webp?v=1738509743,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crep-protect-cure-refill,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/WWY3q9Aw_png.webp?v=1738509753,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jason-markk-shoe-cleaning-foam,Jason Markk Shoe Cleaning Foam,"<p>Ready-To-Use (RTU) Shoe Cleaning Solution is a premium, Made in the USA product designed to provide a thorough and gentle cleaning experience for all types of shoes. This expertly formulated solution is specifically designed to effectively clean and condition your shoes, leaving them looking like new.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>Ready-to-use formula for easy application</li>
<li>Gentle on all surfaces, including leather, suede, nubuck, and more</li>
<li>Safely cleans and conditions your shoes, removing dirt and grime</li>
<li>Suitable for all types of shoes, including those with natural or synthetic materials</li>
</ul>
<p><strong>Benefits:</strong></p>
<ul>
<li>Easy to use, with no need for dilution or mixing</li>
<li>Effective cleaning and conditioning in one step</li>
<li>Leaves your shoes looking clean, fresh, and revitalized</li>
<li>Safely protects your shoes from damage and wear</li>
</ul>
<p><strong>Why Choose Our RTU Shoe Cleaning Solution?</strong></p>
<p>At viskasbatams.lt, we understand the importance of proper shoe care. Our RTU Shoe Cleaning Solution is designed to provide a convenient and effective solution for cleaning and conditioning your shoes. With its gentle formula and easy-to-use design, this product is perfect for anyone looking to keep their shoes looking their best.</p>
<p><strong>Order Now and Keep Your Shoes Looking Their Best!</strong></p>
<p> </p>",Jason Markk,Home & Garden > Household Supplies > Shoe Care & Tools,"","Autumn, Cleaner, Foam, Jason Markk, summer",true,Title,Default Title,,,,,,,,,0.0,shopify,25,continue,manual,21.99,23.79,true,true,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/jason-markk-rtu-foam.webp?v=1738510986,1,"",false,,,,,,,,,,,,,,,,,,,,,,,milk,,full-fat,,,,,,,,,,kg,,,true,,,true,,,active
jason-markk-shoe-cleaning-foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/jason-markk-rtu-foam-3.webp?v=1739047990,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jason-markk-shoe-cleaning-foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/jason-markk-rtu-foam-2.webp?v=1738511001,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saphir-sole-oil,Saphir Sole Oil,"<p>The Saphir Sole Guard is a premium leather care solution designed to protect and condition your leather shoes. This effective product helps to condition and preserve the leather, making it more resistant to moisture and slowing down the aging process. With the Saphir Sole Guard, you can enjoy the comfort and durability of your leather shoes for a longer period.</p>
<p><strong>Key Features:</strong></p>
<ul>
<li>
<strong>Leather Protection</strong>: Saphir Sole Guard creates a protective barrier against moisture, preventing water spots and stains.</li>
<li>
<strong>Leather Conditioning</strong>: This product helps to nourish and moisturize the leather, keeping it soft and supple.</li>
<li>
<strong>Easy to Apply</strong>: Simply apply the Saphir Sole Guard to a clean, dry leather surface for optimal results.</li>
</ul>
<p><strong>Benefits:</strong></p>
<ul>
<li>
<strong>Long-lasting Protection</strong>: Saphir Sole Guard provides long-lasting protection against wear and tear.</li>
<li>
<strong>Easy Maintenance</strong>: Regular application of this product makes maintenance a breeze.</li>
<li>
<strong>Enhanced Appearance</strong>: Your leather shoes will look their best with a rich, healthy shine.</li>
</ul>",Saphir,Home & Garden > Household Supplies > Shoe Care & Tools > Shoe Care Kits,"","Autumn, Protect, Repel, Reviver, Shoe Care, Spring, Winter",true,Title,Default Title,,,,,,,,,0.0,shopify,25,continue,manual,20.99,23.69,true,true,,https://cdn.shopify.com/s/files/1/0922/4883/4388/files/Saphir-Sole-Guard-priemone-odiniu-padu-prieziurai.jpg?v=1736452473,1,"",false,,,,,,,,,,,,,,,,,,,,,,,milk,,full-fat,,,,,,,,,,kg,,,true,,,true,,,active
